CODE,TITLE
0110,ทหารชั้นสัญญาบัตร
0210,ทหารชั้นประทวน
0310,ทหารยศอื่นๆ 
1111,ผู้บัญญัติกฎหมาย
1112,ข้าราชการระดับอาวุโส
1113,ผู้นำตามประเพณีและหัวหน้าหมู่บ้าน
1114,เจ้าหน้าที่ระดับอาวุโสขององค์การที่ดำเนินการเพื่อผลประโยชน์เฉพาะอย่าง
1120,กรรมการผู้จัดการและผู้บริหารระดับสูง
1211,ผู้จัดการด้านการเงิน
1212,ผู้จัดการด้านทรัพยากรบุคคล
1213,ผู้จัดการด้านนโยบายและแผน
1219,ผู้จัดการด้านการบริการธุรกิจและการบริหารจัดการ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
1221,ผู้จัดการด้านการขายและการตลาด
1222,ผู้จัดการด้านโฆษณาและประชาสัมพันธ์
1223,ผู้จัดการด้านวิจัยและพัฒนา
1311,ผู้จัดการด้านการผลิตในภาคการเกษตรและการป่าไม้
1312,ผู้จัดการด้านการผลิตในภาคการเพาะเลี้ยงสัตว์น้ำและการประมง
1321,ผู้จัดการด้านการผลิต
1322,ผู้จัดการด้านการทำเหมือง
1323,ผู้จัดการด้านการก่อสร้าง
1324,ผู้จัดการด้านการจัดหาและจัดส่งสินค้า
1330,ผู้จัดการด้านการบริการเทคโนโลยีสารสนเทศและการสื่อสาร
1341,ผู้จัดการด้านการบริการดูแลเด็ก
1342,ผู้จัดการด้านการบริการสุขภาพ
1343,ผู้จัดการด้านการบริการดูแลผู้สูงอายุ
1344,ผู้จัดการด้านงานสังคมสงเคราะห์
1345,ผู้จัดการด้านการศึกษา
1346,ผู้จัดการสาขาด้านการบริการทางการเงินและการประกันภัย
1349,ผู้จัดการด้านการบริการวิชาชีพ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น
1411,ผู้จัดการโรงแรม
1412,ผู้จัดการภัตตาคาร/ร้านอาหาร
1420,ผู้จัดการด้านการค้าปลีกและค้าส่ง
1431,ผู้จัดการด้านการกีฬา  นันทนาการ  และศูนย์วัฒนธรรม
1439,ผู้จัดการด้านการบริการ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2111,นักฟิสิกส์และนักดาราศาสตร์
2112,นักอุตุนิยมวิทยา
2113,นักเคมี
2114,นักธรณีวิทยาและนักธรณีฟิสิกส์
2120,นักคณิตศาสตร์ นักคณิตศาสตร์ประกันภัย และนักสถิติ
2131,นักชีววิทยา นักพฤกษศาสตร์ นักสัตวศาสตร์  และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2132,ผู้ให้คำปรึกษาด้านการเกษตร  การป่าไม้  และการประมง
2133,ผู้ประกอบวิชาชีพด้านการรักษาสิ่งแวดล้อม
2141,วิศวกรอุตสาหการและการผลิต
2142,วิศวกรโยธา
2143,วิศวกรสิ่งแวดล้อม
2144,วิศวกรเครื่องกล
2145,วิศวกรเคมี
2146,วิศวกรเหมืองแร่  นักโลหะกรรม  และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2149,วิศวกร (ยกเว้นวิศวกรเทคโนโลยีไฟฟ้า) ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2151,วิศวกรไฟฟ้า
2152,วิศวกรอิเล็กทรอนิกส์
2153,วิศวกรโทรคมนาคม
2161,สถาปนิกก่อสร้าง
2162,นักภูมิสถาปัตย์
2163,นักออกแบบผลิตภัณฑ์และเครื่องแต่งกาย
2164,นักวางผังเมืองและระบบการจราจร
2165,นักทำแผนที่และนักสำรวจ
2166,นักออกแบบภาพกราฟฟิกและสื่อผสม
2211,แพทย์ทั่วไป
2212,แพทย์เฉพาะทาง
2221,พยาบาลวิชาชีพ
2222,ผดุงครรภ์วิชาชีพ
2230,แพทย์แผนโบราณและแพทย์ทางเลือก
2240,ผู้ช่วยแพทย์
2250,สัตวแพทย์
2261,ทันตแพทย์
2262,เภสัชกร
2263,ผู้ประกอบวิชาชีพด้านสุขภาพและสุขอนามัยที่เกี่ยวข้องกับสิ่งแวดล้อมและการประกอบวิชาชีพ
2264,นักกายภาพบำบัด
2265,ผู้เชี่ยวชาญเกี่ยวกับอาหารเพื่อสุขภาพและนักโภชนาการ
2266,ผู้ประกอบวิชาชีพด้านแก้ไขการได้ยินและการพูด
2267,นักทัศนมาตรวิชาชีพและผู้เชี่ยวชาญการตรวจวัดสายตา
2269,ผู้ประกอบวิชาชีพอื่นๆ ด้านสุขภาพ ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2310,ครูสอนระดับมหาวิทยาลัยและระดับอุดมศึกษา
2320,ครูสอนระดับอาชีวศึกษา
2330,ครูสอนระดับมัธยมศึกษา
2341,ครูสอนระดับประถมศึกษา
2342,ครูสอนระดับปฐมวัย
2351,ผู้เชี่ยวชาญด้านการศึกษา
2352,ครูสอนการศึกษาพิเศษ
2353,ครูสอนภาษาอื่นๆ
2354,ครูสอนดนตรีอื่นๆ
2355,ครูสอนศิลปะอื่นๆ
2356,ผู้ฝึกอบรมด้านเทคโนโลยีสารสนเทศ
2359,ผู้ประกอบวิชาชีพอื่นๆ  ด้านการสอน ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2411,นักบัญชี
2412,ผู้ให้คำปรึกษาด้านการเงินและการลงทุน
2413,นักวิเคราะห์การเงิน
2421,นักวิเคราะห์ด้านการบริหารและองค์การ
2422,ผู้ประกอบวิชาชีพด้านนโยบายการบริหาร
2423,ผู้ประกอบวิชาชีพด้านงานบุคคลและอาชีพ
2424,ผู้ประกอบวิชาชีพด้านการฝึกอบรมและการพัฒนาพนักงาน
2431,ผู้ประกอบวิชาชีพด้านโฆษณาและการตลาด
2432,ผู้ประกอบวิชาชีพด้านการประชาสัมพันธ์
2433,ผู้ประกอบวิชาชีพการขายด้านเทคนิคและด้านการแพทย์ (ยกเว้นด้านเทคโนโลยีสารสนเทศและการสื่อสาร)
2434,ผู้ประกอบวิชาชีพการขายด้านเทคโนโลยีสารสนเทศและการสื่อสาร
2511,นักวิเคราะห์ระบบคอมพิวเตอร์
2512,นักพัฒนาซอฟต์แวร์
2513,นักพัฒนาเว็บไซต์และสื่อผสม 
2514,โปรแกรมเมอร์
2519,นักวิเคราะห์และพัฒนาซอฟต์แวร์และโปรแกรมประยุกต์   ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2521,นักออกแบบและผู้บริหารฐานข้อมูล
2522,ผู้บริหารระบบงานคอมพิวเตอร์
2523,ผู้ประกอบวิชาชีพด้านเครือข่ายคอมพิวเตอร์
2529,ผู้ประกอบวิชาชีพด้านฐานข้อมูลและเครือข่าย  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2611,ทนายความ
2612,ผู้พิพากษา
2619,ผู้ประกอบวิชาชีพด้านกฎหมาย ซึ่งมิได้จัดประเภทไว้ในที่อื่น
2621,ผู้เก็บหรือดูแลเอกสารหรือบันทึกสำคัญ  และภัณฑารักษ์
2622,บรรณารักษ์และผู้ประกอบวิชาชีพด้านงานสารสนเทศที่เกี่ยวข้อง
2631,นักเศรษฐศาสตร์
2632,นักสังคมวิทยา นักมานุษยวิทยา   และผู้ประกอบวิชาชีพที่เกี่ยวข้อง
2633,นักปรัชญา นักประวัติศาสตร์  และนักรัฐศาสตร์
2634,นักจิตวิทยา
2635,ผู้ประกอบวิชาชีพด้านสังคมสงเคราะห์และให้คำปรึกษา
2636,ผู้ประกอบวิชาชีพด้านศาสนา
2641,นักประพันธ์และนักเขียนอื่นๆ
2642,นักหนังสือพิมพ์
2643,นักแปล ล่าม และนักภาษาศาสตร์อื่นๆ
2651,นักทัศนศิลป์
2652,นักดนตรี นักร้อง  และนักประพันธ์เพลง
2653,นักเต้นรำและนักออกแบบท่าเต้น
2654,ผู้กำกับและผู้ผลิตภาพยนตร์ ละคร และงานสาขาอื่นๆ ที่เกี่ยวข้อง
2655,นักแสดง
2656,ผู้ประกาศทางวิทยุ โทรทัศน์  และผู้ประกาศด้านอื่นๆ
2659,ผู้สร้างสรรค์งานศิลปะและศิลปินการแสดง  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3111,ช่างเทคนิคด้านเคมีและวิทยาศาสตร์กายภาพ
3112,ช่างเทคนิคด้านวิศวกรรมโยธา
3113,ช่างเทคนิคด้านวิศวกรรมไฟฟ้า
3114,ช่างเทคนิคด้านวิศวกรรมอิเล็กทรอนิกส์
3115,ช่างเทคนิคด้านวิศวกรรมเครื่องกล
3116,ช่างเทคนิคด้านวิศวกรรมเคมี
3117,ช่างเทคนิคด้านเหมืองแร่และโลหะวิทยา
3118,ช่างเขียนแบบ
3119,ช่างเทคนิคด้านวิทยาศาสตร์กายภาพและวิศวกรรมศาสตร์  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3121,หัวหน้าคุมงานด้านเหมืองแร่
3122,หัวหน้าคุมงานด้านการผลิต
3123,หัวหน้าคุมงานด้านการก่อสร้าง
3131,ช่างเทคนิคควบคุมเครื่องจักรโรงงานผลิตพลังงาน
3132,ช่างเทคนิคควบคุมเครื่องจักรไอน้ำและหม้อน้ำ
3133,ช่างเทคนิคควบคุมเครื่องจักรโรงงานแปรรูปทางเคมี
3134,ช่างเทคนิคควบคุมเครื่องจักรโรงงานกลั่นปิโตรเลียมและก๊าซธรรมชาติ
3135,ช่างเทคนิคควบคุมกระบวนการผลิตโลหะ
3139,ช่างเทคนิคควบคุมกระบวนการอื่นๆ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3141,เจ้าหน้าที่เทคนิคด้านวิทยาศาสตร์สิ่งมีชีวิต  (ยกเว้นแพทย์)
3142,เจ้าหน้าที่เทคนิคด้านการเกษตรและการประมง
3143,เจ้าหน้าที่เทคนิคด้านการป่าไม้
3151,ช่างเทคนิคหรือช่างเครื่องประจำเรือ
3152,เจ้าหน้าที่ประจำห้องบังคับการเรือและผู้นำร่อง
3153,นักบินและผู้ประกอบวิชาชีพอื่นๆ ที่เกี่ยวข้อง
3154,ผู้ควบคุมการจราจรทางอากาศ
3155,ช่างเทคนิคความปลอดภัยด้านการจราจรทางอากาศ
3211,เจ้าหน้าที่เทคนิคด้านการสร้างภาพทางการแพทย์และอุปกรณ์การบำบัดรักษาโรค
3212,เจ้าหน้าที่เทคนิคในห้องปฏิบัติการทางการแพทย์และพยาธิวิทยา
3213,เจ้าหน้าที่เทคนิคด้านเภสัชกรรมและผู้ช่วย
3214,เจ้าหน้าที่เทคนิคด้านอุปกรณ์การแพทย์เทียมและฟันเทียม
3221,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับการพยาบาล
3222,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับการผดุงครรภ์
3230,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับแพทย์แผนโบราณและแพทย์ทางเลือก
3240,ผู้ช่วยและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับสัตวแพทย์
3251,ผู้ช่วยทันตแพทย์และนักทันตกรรมบำบัด
3252,เจ้าหน้าที่เวชระเบียนและเจ้าหน้าที่เทคนิคด้านข้อมูลสุขภาพ
3253,เจ้าหน้าที่ด้านสุขภาพของชุมชน
3254,ผู้ตรวจวัดสายตาและช่างประกอบแว่นตา
3255,เจ้าหน้าที่เทคนิคและผู้ช่วยด้านกายภาพบำบัด
3256,ผู้ช่วยด้านการแพทย์
3257,ผู้ตรวจสอบด้านสิ่งแวดล้อม การทำงาน สุขภาพ และงานที่เกี่ยวข้อง
3258,ผู้ปฏิบัติงานด้านรถพยาบาล
3259,ผู้ประกอบวิชาชีพอื่นๆ  ที่เกี่ยวข้องกับด้านสุขภาพ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3311,นายหน้าค้าหลักทรัพย์และการเงิน
3312,เจ้าหน้าที่สินเชื่อและให้กู้ยืม
3313,ผู้ประกอบวิชาชีพที่เกี่ยวข้องทางด้านบัญชี
3314,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านสถิติ คณิตศาสตร์  และคณิตศาสตร์ประกันภัย
3315,ผู้ประเมินราคาและมูลค่าความเสียหาย
3321,ตัวแทนขายประกันภัย
3322,ตัวแทนขายด้านการค้า
3323,ผู้จัดซื้อ
3324,นายหน้าทางการค้า
3331,ตัวแทนพิธีการศุลกากรและตัวแทนผู้รับจัดการขนส่งสินค้า
3332,นักวางแผนการจัดงานและการประชุม
3333,ตัวแทนจัดหางานและผู้ทำสัญญาด้านแรงงาน
3334,ตัวแทนอสังหาริมทรัพย์และผู้จัดการทรัพย์สิน
3339,ตัวแทนการให้บริการทางธุรกิจ   ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3341,หัวหน้าคุมงานในสำนักงาน
3342,เลขานุการด้านกฎหมาย
3343,เลขานุการด้านการบริหารและเลขานุการผู้บริหาร
3344,เลขานุการด้านการแพทย์
3351,เจ้าหน้าที่ประจำด่านศุลกากรและบริเวณพรมแดน
3352,เจ้าหน้าที่สรรพากรและสรรพสามิตของรัฐ
3353,เจ้าหน้าที่ด้านการดูแลสิทธิประโยชน์ทางสังคมของรัฐ
3354,เจ้าหน้าที่ด้านการออกใบอนุญาตของรัฐ
3355,ตำรวจสืบสวนและนักสืบ
3359,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านกฎระเบียบของรัฐ  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3411,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับกฎหมายและงานที่เกี่ยวข้อง
3412,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับงานสังคมสงเคราะห์
3413,ผู้ประกอบวิชาชีพที่เกี่ยวข้องกับศาสนา
3421,นักกรีฑาและนักกีฬา
3422,เจ้าหน้าที่และผู้ฝึกสอนกีฬา
3423,ผู้ฝึกสอนและผู้ดูแลโปรแกรมการสร้างสมรรถภาพของร่างกายและการนันทนาการ
3431,ช่างถ่ายภาพ
3432,นักออกแบบตกแต่งภายในและมัณฑนากร
3433,ช่างเทคนิคดูแลห้องแสดงภาพ  ห้องสมุด  และพิพิธภัณฑ์
3434,หัวหน้าพ่อครัว/ แม่ครัว
3435,ผู้ประกอบวิชาชีพ ที่เกี่ยวข้องกับด้านศิลปะ วัฒนธรรม  ซึ่งมิได้จัดประเภทไว้ในที่อื่น
3511,ช่างเทคนิคปฏิบัติการด้านเทคโนโลยีสารสนเทศและการสื่อสาร
3512,ช่างเทคนิคให้ความช่วยเหลือและแก้ปัญหาด้านเทคโนโลยีสารสนเทศและการสื่อสารกับผู้ใช้งาน
3513,ช่างเทคนิคด้านเครือข่ายและระบบคอมพิวเตอร์
3514,ช่างเทคนิคด้านเว็บไซต์
3521,ช่างเทคนิคด้านการแพร่ภาพกระจายเสียงและโสตทัศนูปกรณ์
3522,ช่างเทคนิควิศวกรโทรคมนาคม
4110,เสมียนทั่วไป
4120,เลขานุการทั่วไป
4131,พนักงานพิมพ์ดีดและเจ้าหน้าที่เครื่องประมวลผลคำ
4132,เจ้าหน้าที่บันทึกข้อมูล
4211,เสมียนรับฝาก- ถอนเงินของธนาคาร  และเสมียนที่เกี่ยวข้อง
4212,เจ้ามือรับพนัน  คนเก็บและจ่ายเงินพนัน  และพนักงานที่เกี่ยวข้องกับการพนัน
4213,เสมียนโรงรับจำนำและผู้ให้กู้ยืมเงิน
4214,พนักงานเร่งรัดหนี้สินและพนักงานที่เกี่ยวข้อง
4221,เสมียนและเจ้าหน้าที่ให้คำปรึกษาด้านการท่องเที่ยว
4222,พนักงานศูนย์บริการข้อมูลข่าวสาร
4223,พนักงานควบคุมแผงเครื่องติดต่อทางโทรศัพท์ (พนักงานต่อโทรศัพท์)
4224,พนักงานต้อนรับของโรงแรม
4225,พนักงานบริการติดต่อสอบถาม
4226,พนักงานต้อนรับทั่วไป
4227,พนักงานสัมภาษณ์ในโครงการสำรวจและวิจัยตลาด
